Ksiazki Wiliama Shakespearea
Ksiazka: ksiazki/tymon-atenczyk.txt
Calkowitka ilosc wyrazow = 1702
Statystyka dlugosci zdań:
1 słów 4.7591066%
2 słów 7.9318447%
3 słów 9.753232%
4 słów 8.989425%
5 słów 7.5793185%
6 słów 8.1668625%
7 słów 5.052879%
8 słów 4.7003527%
9 słów 3.2314923%
10 słów 3.7015278%
11 słów 3.46651%
12 słów 2.3501763%
13 słów 3.4077554%
14 słów 2.6439483%
15 słów 3.4077554%
16 słów 2.5851939%
17 słów 1.7626323%
18 słów 1.2925969%
19 słów 1.6451234%
20 słów 1.3513514%
21 słów 1.2925969%
22 słów 1.0575793%
23 słów 1.1750882%
24 słów 1.1750882%
25 słów 0.8813161%
26 słów 0.17626321%
27 słów 0.7638073%
28 słów 0.70505285%
29 słów 0.70505285%
30 słów 0.41128084%
159 słów 0.058754407%
31 słów 0.17626321%
32 słów 0.41128084%
33 słów 0.29377204%
34 słów 0.058754407%
35 słów 0.117508814%
36 słów 0.17626321%
37 słów 0.117508814%
38 słów 0.29377204%
39 słów 0.058754407%
40 słów 0.117508814%
41 słów 0.117508814%
42 słów 0.117508814%
43 słów 0.117508814%
44 słów 0.117508814%
45 słów 0.117508814%
46 słów 0.17626321%
47 słów 0.058754407%
48 słów 0.29377204%
49 słów 0.23501763%
50 słów 0.058754407%
53 słów 0.058754407%
54 słów 0.058754407%
56 słów 0.058754407%
57 słów 0.058754407%
63 słów 0.058754407%
65 słów 0.058754407%
71 słów 0.058754407%
74 słów 0.058754407%
84 słów 0.058754407%
105 słów 0.058754407%
Ksiazka: ksiazki/krol-ryszard.txt
Calkowitka ilosc wyrazow = 2404
Statystyka dlugosci zdań:
1 słów 2.8702161%
2 słów 6.8219633%
3 słów 7.2379365%
4 słów 7.0299497%
5 słów 5.7820296%
6 słów 7.4875207%
7 słów 7.3627286%
8 słów 5.324459%
9 słów 3.452579%
10 słów 2.703827%
11 słów 3.452579%
12 słów 3.5357735%
13 słów 3.4109817%
14 słów 3.5357735%
15 słów 3.6605656%
16 słów 2.9118135%
17 słów 2.7870216%
18 słów 2.4126456%
19 słów 2.3294508%
20 słów 2.2878535%
21 słów 1.4975041%
22 słów 1.3727121%
23 słów 0.9567387%
